Suburb House  Price - 2021,,,,,,,,,,,,,,,,
,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,prelim 2022,change,change,Growth PA,
locality,Median,Median,Median,Median,Median,Median,Median,Median,Median,Median,Median,Median,2020-2021,2011-2021,,
 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
MONT ALBERT NORTH,850500,780000,995000,1100000,1400000,1490000,1565000,1460000,1380000,1437000,1590000,1555000,11,87,6.5,
MONTMORENCY,560000,561000,570000,614000,732000,780500,890000,926000,856000,913000,1160000,1175000,27,107,7.6,
MONTROSE,435000,426000,445000,476500,559000,625000,700500,737500,707500,730000,845000,930000,16,94,6.9,
MOONEE PONDS,780500,775000,830500,920000,1006000,1110500,1310000,1360000,1300000,1290000,1540000,1825000,19,97,7.0,
MOORABBIN,657000,631000,682000,768000,855000,980000,1160000,1130000,1065000,1072500,1400000,1445000,31,113,7.9,
MOOROOLBARK,435000,425000,440000,465000,558500,620000,725000,720000,670000,720000,842500,873000,17,94,6.8,
MOOROOPNA,215000,217500,207500,215000,230000,215500,225000,230000,247500,268500,335000,395500,25,56,4.5,
MORDIALLOC,660000,642500,680000,755000,850000,933000,1120000,1046500,1017500,1089000,1410000,1130000,29,114,7.9,
MORNINGTON,525000,501500,525000,558000,641000,745000,800000,850000,810000,895000,1100000,1225000,23,110,7.7,
MORTLAKE,146000,152000,129500,152500,120000,152000,170000,165000,164000,220000,290500,322500,32,99,7.1,
MORWELL,158500,150500,160000,150000,150000,153000,170000,167000,179000,200000,275000,315000,37,74,5.7,
MOUNT BEAUTY,173000,140000,180000,200000,189500,183000,258000,267500,295000,330000,446000,580000,35,158,9.9,
MOUNT CLEAR,287000,305000,286000,288000,322500,345000,345000,379000,396500,414000,505000,586500,22,76,5.8,
MOUNT DANDENONG,447500,476500,450000,610000,612500,641000,847000,647500,690000,791000,858500,1280000,9,92,6.7,
MOUNT DUNEED,190000,480000,286000,532000,545000,425000,500000,555000,557000,593000,698000,770000,18,267,13.9,
MOUNT EGERTON,222500,275000,250000,295000,230000,271500,310000,340500,330000,271000,555000,450000,105,149,9.6,
MOUNT ELIZA,725000,680000,750000,777500,832000,950000,1137500,1222500,1180000,1313000,1700000,1767500,29,134,8.9,
MOUNT EVELYN,400000,393000,406000,428500,493500,551000,640000,671500,636000,709000,820000,796500,16,105,7.4,
MOUNT HELEN,355000,325000,344000,368000,342000,355000,376000,420000,417000,470000,610000,615000,30,72,5.6,
MOUNT MACEDON,512500,543000,662500,600000,635000,750000,665000,859000,775000,1043000,1626000,1530000,56,217,12.2,
MOUNT MARTHA,690000,715500,727500,745000,785000,965000,1050000,1202500,1262500,1410500,1857500,1800000,32,169,10.4,
MOUNT PLEASANT,248500,259000,276500,269500,293500,297500,293000,350000,377500,415000,498000,590000,20,100,7.2,
MOUNT WAVERLEY,745000,733000,820000,950000,1267500,1265000,1416000,1320000,1270500,1300000,1510000,1510000,16,103,7.3,
MULGRAVE,531000,533000,577500,627000,765500,786000,900500,860000,840000,850000,1000000,907500,18,88,6.5,
MURCHISON,165000,183000,186000,155000,165000,187000,254500,225000,244500,291500,400000,410000,37,142,9.3,
MURRUMBEENA,822000,785000,870000,982500,1204000,1286000,1420000,1343500,1241500,1405000,1687500,1755000,20,105,7.5,
MURTOA,133000,108500,95000,110000,91000,97500,115000,110000,119000,130000,142500,160000,10,7,0.7,
MYRTLEFORD,219000,220000,220000,245000,242000,270500,265000,295000,325000,385000,515000,624500,34,135,8.9,
NAGAMBIE,248000,255000,312500,378000,360500,336000,330000,385000,414000,460000,545000,700000,18,120,8.2,
NAR NAR GOON,350000,395500,350000,395500,550000,442500,470000,522500,508500,535000,655000,655000,22,87,6.5,
NARRE WARREN,364000,356000,370000,386000,430000,486500,590000,614000,588000,610000,700000,768000,15,92,6.8,
NARRE WARREN NORTH,723000,660000,685000,822500,773000,900000,1108000,1180000,1075000,1185000,1430000,1467500,21,98,7.1,
NARRE WARREN SOUTH,405000,405000,410000,440000,476000,530000,620000,636500,625000,660000,750000,806500,14,85,6.4,
NATHALIA,150000,205000,165000,190500,178000,185000,232500,210000,229000,256000,265000,330000,4,77,5.9,
NATIMUK,142500,116000,166000,145000,161000,165500,249500,158500,148500,221000,296000,275000,34,108,7.6,
NEERIM SOUTH,260000,265000,340000,336500,280000,330000,320000,406500,413000,473500,555000,475000,17,113,7.9,
NELSON,240000,205000,224000,203500,257500,220000,249500,255000,247500,210000,355000,410000,69,48,4.0,
NERRINA,387000,467500,455000,482500,522500,517500,570000,575000,617500,630000,580000,510000,-8,50,4.1,
NEW GISBORNE,492000,475000,500000,510000,498000,545000,625000,757500,695000,721500,798500,820000,11,62,5.0,
NEWBOROUGH,187000,213500,213000,215000,220000,224500,220000,250000,255000,290000,359000,412500,24,92,6.7,
NEWCOMB,275000,275000,280000,292000,290500,310000,375000,453500,435000,476000,584000,615000,23,112,7.8,
NEWHAVEN,430000,360000,442500,422500,480000,457500,447500,520000,712000,505000,827500,936500,64,92,6.8,
NEWINGTON,290000,300000,320000,341000,345000,372500,422500,465000,490000,735000,720000,645000,-2,148,9.5,
NEWLANDS ARM,332000,325000,320000,302000,332500,380000,380000,367500,443000,470000,550000,660000,17,66,5.2,
NEWPORT,680000,630000,695000,740000,825000,950000,1080000,1059000,1055000,1092500,1288000,1350000,18,89,6.6,
NEWSTEAD,243000,252000,300000,297500,365000,362000,420000,318500,436000,470000,540000,615000,15,122,8.3,
NEWTOWN (GREATER GEELONG),533000,527500,570000,620000,642500,712500,780000,843000,832000,940000,1175000,1085000,25,120,8.2,
NHILL,107000,110000,110000,125000,128000,140000,126500,149000,137000,158500,180000,171000,14,68,5.3,
NICHOLS POINT,311500,232000,316500,304000,370000,396000,346000,470000,430000,475000,510000,500000,7,64,5.1,
NIDDRIE,742500,666000,700000,747500,832500,910000,1095000,1070000,1070000,1000500,1210000,995000,21,63,5.0,
NOBLE PARK,410000,382000,400000,440000,510000,600000,680000,680000,625500,675000,755000,770000,12,84,6.3,
NOBLE PARK NORTH,395000,370000,383000,420000,491500,563000,640000,660000,610000,655500,750000,790000,14,90,6.6,
NORLANE,203000,206500,202500,215000,216000,236500,290000,355000,350000,372000,450000,505000,21,122,8.3,
NORTH BENDIGO,230000,267000,271000,280000,286000,279000,302000,310000,325000,374000,460500,520000,23,100,7.2,
NORTH GEELONG,292500,286500,277000,301000,335000,338500,422000,495000,500000,550500,600000,638500,9,105,7.4,
NORTH MELBOURNE,750000,775000,802500,832000,926000,1200000,1390000,1185000,1375000,1150000,1311500,1177000,14,75,5.7,
NORTH SHORE,357500,287500,354000,403500,561000,533000,511000,497000,552500,615000,660000,NA,7,85,6.3,
NORTH WONTHAGGI,284000,256000,230000,268500,274500,259500,294000,369000,389000,419000,560000,664000,34,97,7.0,
NORTHCOTE,780000,786000,818000,935000,1008500,1190000,1325000,1345000,1307500,1413000,1655000,1550000,17,112,7.8,
NOTTING HILL,525500,547000,566500,660000,780000,872500,993000,957500,880000,940000,1163000,1220000,24,121,8.3,
NUMURKAH,190500,200500,195000,215000,219000,195000,219000,225000,250000,239000,310000,385000,30,63,5.0,
NUNAWADING,585000,591500,637500,721500,880000,970000,1090000,986000,951000,1038500,1250000,1295000,20,114,7.9,
NYAH WEST,70000,116500,94000,107500,146500,130000,133500,136000,85000,129000,174500,209000,35,149,9.5,
NYORA,216500,225000,222500,265000,245000,300000,260000,340000,370000,530000,745000,735000,41,245,13.2,
OAK PARK,590000,540000,576500,626000,660000,822500,853500,878500,840000,911500,1127500,1422500,24,91,6.7,
OAKLEIGH,700000,645000,753500,801500,1002000,1050000,1210000,1250000,1101000,1255000,1389500,1425000,11,99,7.1,
OAKLEIGH EAST,640000,610000,672000,820000,995000,983000,1195000,992500,950000,995000,1176500,1162500,18,84,6.3,
OAKLEIGH SOUTH,615000,590000,603000,700000,830000,890000,1030000,960000,908000,983500,1200000,1237500,22,95,6.9,
OCEAN GROVE,479000,465000,459000,515000,516500,555000,637000,691000,695000,790000,960000,1125000,22,100,7.2,
OFFICER,396000,429000,342000,339000,375000,440000,480000,548000,540000,582000,650000,720000,12,64,5.1,
OFFICER SOUTH,-,-,-,-,-,-,283000,569500,714000,770000,726500,935000,-6,NA,NA,
OLINDA,520000,445000,496000,520000,553500,620000,705000,760000,746500,757500,1087500,938500,44,109,7.7,
OMEO,162500,170000,210000,190000,212500,150000,183000,183500,250000,238000,319500,345000,34,97,7.0,
ORBOST,151500,150000,156000,150000,145000,162500,159000,165000,185500,220000,240000,315000,9,58,4.7,
ORMOND,912500,857500,997500,1187500,1300000,1550000,1604500,1600000,1475000,1590000,1895000,1927500,19,108,7.6,
OSBORNE,488500,507500,530000,540500,580000,640000,735000,757000,777500,850500,1114000,1070000,31,128,8.6,
OUYEN,110000,116500,75000,77500,105500,130000,130000,93000,99000,121000,155500,135000,29,41,3.5,
PAKENHAM,340000,335000,335000,350000,367000,400000,470000,520000,485000,525000,600000,655000,14,76,5.8,
PARADISE BEACH,159500,212500,163500,178000,188500,200000,180000,199000,200000,248000,321500,407500,30,101,7.3,
PARK ORCHARDS,942500,953000,952500,1103000,1225000,1335000,1450000,1480000,1510000,1530000,1920000,2240000,25,104,7.4,
PARKDALE,755500,677000,760000,860000,965000,1100000,1300000,1245000,1157500,1200500,1526500,1391500,27,102,7.3,
PARKVILLE,1100000,1360000,1200000,1525000,1360500,2130000,2287500,2430000,1480000,1837500,2301500,2233000,25,109,7.7,
PASCOE VALE,575000,540000,580000,655000,720000,805000,891000,901000,855000,947500,1050000,1097500,11,83,6.2,
PASCOE VALE SOUTH,612500,627500,645500,701000,745000,840000,975000,955000,950000,1006000,1299500,1116000,29,112,7.8,
PATTERSON GARDENS,605000,610000,620000,672000,739000,812000,885000,890000,920000,970000,1155000,1282500,19,91,6.7,
PATTERSON LAKES,625000,730000,645000,734000,787500,810000,1021500,1025000,924000,1100000,1317000,1287500,20,111,7.7,
PAYNESVILLE,323500,290000,283000,300000,302500,308000,336500,353000,340000,392500,465000,545000,18,44,3.7,
PEARCEDALE,405000,425000,385000,445000,470000,534000,607000,660000,660000,665000,775000,985000,17,91,6.7,
PENSHURST,165000,83000,144000,132500,191000,152000,125000,165000,165000,175000,188500,237500,8,14,1.3,
PETERBOROUGH,410000,333000,287500,307500,296500,340000,315000,450000,419000,550000,660000,610000,20,61,4.9,
PIONEER BAY,197500,235000,200000,220000,240000,216000,271500,308000,310000,355000,354000,550000,0,79,6.0,
PLENTY,730000,770000,773000,750000,915500,935000,1145000,1350000,1301000,1202500,1610000,1600000,34,121,8.2,
POINT COOK,445000,435000,450000,445000,465000,505000,590000,630000,635000,664000,740000,740000,11,66,5.2,
POINT LONSDALE,670000,700000,700000,707500,655000,641000,780000,840000,827500,880000,1300000,1485000,48,94,6.9,
POOWONG,208000,185000,215000,218000,240000,325000,293000,315000,443000,412500,422500,495000,2,103,7.3,
POREPUNKAH,276000,285000,347000,285000,323000,330000,447000,464500,530000,615000,757500,1047500,23,174,10.6,
PORT ALBERT,180000,235000,262500,190000,197500,218500,270000,240000,250000,315000,425000,523500,35,136,9.0,
PORT CAMPBELL,260000,275500,317500,285000,287500,335000,330000,395000,495000,473000,580000,800000,23,123,8.4,
PORT FAIRY,380000,410000,400000,425000,447500,473500,500000,651000,620000,670000,950000,1125000,42,150,9.6,
PORT MELBOURNE,915000,960000,995000,917500,1252500,1380000,1485000,1488000,1400000,1595000,1805000,1617500,13,97,7.0,
PORT WELSHPOOL,195000,266000,201500,244000,200000,380000,247500,295000,315000,310000,447500,489000,44,129,8.7,
PORTARLINGTON,425000,389000,390000,414500,409000,460000,515000,640000,625000,690000,820000,954000,19,93,6.8,
PORTLAND,236500,227500,235000,210000,220000,220000,230000,234500,266000,295000,369000,443500,25,56,4.5,
PORTLAND NORTH,215000,226500,300000,248000,330000,340000,360000,367500,276000,507000,470000,295000,-7,119,8.1,
PORTSEA,1625000,1398000,1195000,1305000,1800000,1701000,1925000,2180000,1950000,2530000,3765000,4400000,49,132,8.8,
PRAHRAN,955000,932500,990000,1175000,1350000,1430000,1525000,1578000,1520000,1650000,1830000,1750000,11,92,6.7,
PRESTON,602000,580000,632500,690000,791000,882000,996000,980000,940000,1030000,1250000,1252500,21,108,7.6,
PRINCES HILL,967500,928500,1216500,1210000,1280000,1555000,1767500,1650000,2035000,1600000,1992500,1582500,25,106,7.5,
PYRAMID HILL,91000,100000,112500,117000,112500,112500,112500,100000,120000,117500,128000,200000,9,41,3.5,
QUARRY HILL,292500,300000,385000,355000,377500,349000,362000,407500,395000,430000,535500,585000,25,83,6.2,
QUEENSCLIFF,590000,697500,630000,695000,700000,795000,763000,950000,950000,969000,1372000,1870000,42,133,8.8,
RAINBOW,71500,69000,62000,77000,68000,59500,82500,99000,75000,82000,112000,142500,37,57,4.6,
RAWSON,161000,141500,160500,100000,147000,151000,146500,164000,156000,217500,330000,290000,52,105,7.4,
RAYMOND ISLAND,262500,310000,297500,280000,285000,330000,289500,360000,300000,416500,450000,434500,8,71,5.5,
RED CLIFFS,170000,154000,163000,153000,175000,165000,223500,211500,217500,270000,311000,325000,15,83,6.2,
REDAN,227500,235000,250000,245000,246500,255000,287500,330000,357000,387500,455000,509000,17,100,7.2,
RESEARCH,657000,622500,605500,685000,686000,825500,950000,915000,937500,1178000,1175500,1090000,0,79,6.0,
RESERVOIR,500000,468500,510000,541000,615000,710000,812500,790000,754000,795500,940000,966000,18,88,6.5,
RHYLL,415000,400000,393000,482000,402000,460000,527500,657500,565000,579000,781500,935000,35,88,6.5,
RICHMOND,825000,823000,900000,961000,1150000,1265000,1302500,1312000,1260000,1365000,1480000,1385000,8,79,6.0,
RIDDELLS CREEK,449000,380000,450000,417500,456500,500000,580000,675000,702500,680000,880000,962500,29,96,7.0,
RINGWOOD,506000,503500,551000,660000,777500,837500,910500,896500,801000,900000,1018000,1032500,13,101,7.2,
RINGWOOD EAST,520000,490000,547000,612000,750000,806000,901000,881000,809000,866000,1050000,1075000,21,102,7.3,
RINGWOOD NORTH,569000,564000,631000,662000,783500,844000,960500,920000,871000,957500,1183000,1130000,24,108,7.6,
RIPPLESIDE,510000,414000,585000,530000,644000,739000,725000,750000,825000,862000,1090000,910000,26,114,7.9,
RIPPONLEA,830000,1055000,985000,1000000,1360000,1700000,1787500,1564000,1350000,2001000,1892500,1650000,-5,128,8.6,
ROBINVALE,136000,176000,151500,160000,184500,170000,197000,220000,231500,235000,340000,402500,45,150,9.6,
ROCHESTER,185000,210000,189500,215000,235000,239000,242500,236000,255000,237000,350000,385000,48,89,6.6,
ROCKBANK,251000,262000,309000,280000,300000,347000,455000,500000,497000,465000,565000,602500,22,125,8.5,
ROMSEY,360000,367500,387500,396000,420000,428000,470000,550000,580500,630000,780000,772500,24,117,8.0,
ROSANNA,725000,652500,717500,781500,905000,980000,1175000,1100000,1032500,1122500,1372000,1250000,22,89,6.6,
ROSEBUD,360000,350000,367000,365000,389000,445000,536000,590000,550000,595000,780000,832500,31,117,8.0,
ROSEBUD SOUTH,460000,450000,425000,500000,515000,545000,647500,711500,697000,658500,949500,1275000,44,106,7.5,
ROSEDALE,189000,208500,215000,215000,197000,230000,247000,280000,247000,252000,367500,420000,46,94,6.9,
ROWVILLE,527500,530000,570000,617500,710000,778000,867000,838000,820000,838000,1005000,1075000,20,91,6.7,
ROXBURGH PARK,360000,355000,365000,385000,400000,435000,515000,546000,543000,572500,615000,645000,7,71,5.5,
RUPANYUP,100000,127000,75000,105000,53500,75000,63500,87000,100500,90000,118000,220000,31,18,1.7,
RUSHWORTH,155000,190000,161000,158000,177000,200000,192500,198000,205000,226000,301000,365000,33,94,6.9,
RUTHERGLEN,207000,235000,232000,195000,230000,255000,262000,270000,282500,350000,402500,490000,15,94,6.9,
RYE,440000,422000,425000,460000,488000,550000,658000,705000,690000,793500,1100000,1225000,39,150,9.6,
SAFETY BEACH,553000,551000,515000,516500,595000,665000,780000,825000,810000,895000,1117000,1420000,25,102,7.3,
SAILORS GULLY,265000,257500,253000,262500,235000,225000,232000,290000,280000,300000,390000,470000,30,47,3.9,
SALE,291500,274500,290000,300000,298000,295500,300000,309500,325000,345000,399500,515000,16,37,3.2,
SAN REMO,411000,402500,410000,407000,420000,460000,497000,515000,554500,597500,850000,907500,42,107,7.5,
SANCTUARY LAKES,475000,512500,480000,485000,570000,503000,629000,627500,625000,653500,710000,730000,9,49,4.1,
SANDHURST,504500,511500,545000,549000,617500,678500,730000,837500,812500,780000,950000,966000,22,88,6.5,
SANDRINGHAM,1202500,1175000,1210000,1305000,1490000,1760000,1862500,1850000,1665000,1847000,2364000,2432500,28,97,7.0,
SANDY POINT,375000,355000,352500,380000,370000,359000,407500,410000,410000,517500,755000,820000,46,101,7.2,
SASSAFRAS,497500,397500,632500,556000,562000,653500,775500,750000,805000,770000,860000,973500,12,73,5.6,
SAWMILL SETTLEMENT,199000,207000,259000,205500,233000,350000,270000,285000,441000,400000,560000,565000,40,182,10.9,
SCORESBY,472000,480000,509000,570000,661000,700000,878500,835000,767000,785000,955000,982500,22,102,7.3,
SEA LAKE,112000,65000,80000,75000,90000,75000,70000,110000,100000,106500,121500,160000,14,8,0.8,
SEABROOK,407500,403500,422500,402500,456000,509000,635000,672500,626500,652500,730000,780000,12,79,6.0,
SEAFORD,415000,392500,419000,450000,475000,580500,700000,695000,655000,700000,850000,915000,21,105,7.4,
SEAHOLME,630000,600000,641000,670000,802500,872500,1157500,1015000,1020000,937500,1222000,1220000,30,94,6.8,
SEASPRAY,165000,192500,152000,164000,240000,175000,215000,210000,265000,260000,334000,390000,28,102,7.3,
SEBASTOPOL,228000,239000,242000,235500,244500,247500,256000,289500,315000,341000,420000,457000,23,84,6.3,
SEDDON,620500,670000,675000,730000,830000,934500,982500,1018500,960000,1064500,1225000,971000,15,97,7.0,
SELBY,421500,410000,420000,420000,469500,527500,600000,637500,601500,720000,904500,820000,26,115,7.9,
SEVILLE,380000,380000,400000,397500,450000,511500,611500,634500,620000,626000,770000,810000,23,103,7.3,
SEVILLE EAST,364500,342500,339500,350000,395000,440000,482500,551500,580000,600000,720000,NA,20,98,7.1,
SEYMOUR,190000,220000,220000,213000,225000,242500,277000,295000,300000,325000,390000,420000,20,105,7.5,
SHEPPARTON,242500,240000,247000,243000,250000,265000,261000,275000,282000,310000,370000,405000,19,53,4.3,
SHEPPARTON NORTH,330500,284000,346000,375000,348000,361000,347000,334000,393000,379000,425000,654000,12,29,2.5,
SHOREHAM,585000,618000,607000,620000,903000,868500,970000,1160000,1400000,1077000,1767500,1155000,64,202,11.7,
SILVERLEAVES,500000,505000,508000,460500,484000,446500,515000,721000,618500,775000,982000,2195000,27,96,7.0,
SKENES CREEK,370000,532500,465000,435000,491500,520000,517000,580000,667500,815000,952500,850000,17,157,9.9,
SKIPTON,160000,149000,155000,117500,137000,169000,187500,159500,200000,219500,270000,352500,23,69,5.4,
SKYE,385000,390000,395000,413000,430000,479000,570000,611000,597500,610000,745000,812500,22,94,6.8,
SMITHS BEACH,380000,430000,372500,390000,455000,470000,458500,589000,624500,695000,837000,976500,20,120,8.2,
SMYTHES CREEK,-,-,-,380000,380000,380000,380000,426500,430000,440500,500000,575000,13,NA,NA,
SMYTHESDALE,259000,207500,260000,207500,225000,250000,315000,290000,342500,475000,522500,NA,10,102,7.3,
SOLDIERS HILL,278000,292500,283000,341000,310000,374000,423500,447500,480000,557500,569000,655000,2,105,7.4,
SOMERS,615000,670000,657500,755000,696500,755500,820000,888500,950000,980000,1700000,1850000,73,176,10.7,
SOMERVILLE,375000,360000,385000,395000,425000,465000,580000,615000,600000,640000,780000,900000,22,108,7.6,
SORRENTO,905000,730000,770000,795000,859000,1130000,1300000,1380000,1470000,1665000,2200000,2426500,32,143,9.3,
SOUTH DUDLEY,230000,216500,192000,200500,221500,256000,233500,270000,339000,330000,445000,522000,35,93,6.8,
SOUTH GEELONG,382500,430000,420500,470000,425000,495000,650000,676000,702500,835000,1000000,1070000,20,162,10.1,
SOUTH KINGSVILLE,620000,610000,619500,671000,742000,903000,980000,1000000,859000,992000,1100000,1140000,11,77,5.9,
SOUTH MELBOURNE,925000,930000,1030000,1200000,1310000,1595000,1532500,1465000,1355000,1580000,1690000,1812500,7,83,6.2,
SOUTH MORANG,410000,420000,415000,420000,450000,502000,610500,634000,625500,640000,730000,755000,14,78,5.9,
SOUTH YARRA,1125000,1238000,1352500,1450000,1700000,1890000,2035000,1851000,1850000,2010000,2217500,1650000,10,97,7.0,
SPOTSWOOD,602500,655000,680000,640000,795000,917500,1027500,1080000,950000,1000000,1220000,1380000,22,102,7.3,
SPRING GULLY,320000,340000,345000,350000,350000,350000,390000,400000,386500,440000,552500,700000,26,73,5.6,
SPRINGVALE,470000,448000,451500,530000,629500,685000,750000,780000,746500,785000,853000,925000,9,81,6.1,
SPRINGVALE SOUTH,420000,408000,430000,475000,562000,630000,720000,720000,679000,725000,800000,800000,10,90,6.7,
ST ALBANS,387000,348000,350000,373500,428000,500000,610000,626500,591000,600000,685000,702500,14,77,5.9,
ST ALBANS PARK,310000,307500,335000,330000,329000,331000,379000,450000,422000,455000,600000,622500,32,94,6.8,
ST ANDREWS BEACH,550000,714000,480000,495000,560000,695000,855000,902500,930000,1207500,1710000,1595000,42,211,12.0,
ST ARNAUD,125000,123000,140000,145000,141000,142500,145000,145000,175000,170000,225000,255000,32,80,6.1,
ST HELENA,570000,550500,612500,623000,711000,800000,893500,910000,905000,930000,1137500,NA,22,100,7.2,
ST KILDA,860000,861000,892000,1225000,1164000,1305000,1551000,1755000,1600000,1330000,1662500,1515000,25,93,6.8,
ST KILDA EAST,962500,993000,1050500,1037500,1382500,1677500,1460000,1620000,1560500,1650000,1828000,1200000,11,90,6.6,
ST KILDA WEST,1700000,1262500,1142500,2235000,2013000,1797000,2380000,1942500,2465000,2630000,2750000,NA,5,62,4.9,
ST LEONARDS,389000,363000,350000,357000,375000,421500,469000,571500,562500,572000,702000,786000,23,80,6.1,
STANHOPE,152000,175000,150000,131000,152500,147000,181000,161500,187500,201500,255000,222500,27,68,5.3,
STAWELL,147000,167000,162500,172500,177000,177000,188000,190000,189000,226000,290000,321500,28,97,7.0,
STRATFORD,242500,267500,230000,261500,260500,272500,265000,258000,316500,320000,397500,463500,24,64,5.1,
STRATHDALE,369500,361000,392500,380000,410500,445000,380000,420000,451000,507000,645000,677500,27,75,5.7,
STRATHFIELDSAYE,370000,359000,377000,397500,408000,425000,455000,444000,476500,535000,640000,710000,20,73,5.6,
STRATHMERTON,107500,164500,166000,172500,190000,182500,140000,187500,195000,205000,265000,259000,29,147,9.4,
STRATHMORE,820000,800000,827500,865000,997500,1140000,1230000,1357500,1310000,1360000,1570000,1342500,15,91,6.7,
STRATHMORE HEIGHTS,700000,605000,621000,640000,700000,808000,970000,885000,800000,835000,962500,1137500,15,38,3.2,
STRATHTULLOH,-,191000,350000,440000,425000,430000,359000,425000,507500,522500,590000,642500,13,0,NA,
STUDFIELD,470000,480500,532500,617500,785000,853000,957500,906000,811000,836000,1036500,1001000,24,121,8.2,
SUNBURY,360000,350000,355000,360000,370000,395000,492000,545000,533500,572000,646500,655000,13,80,6.0,
SUNDERLAND BAY,280000,265000,324500,333000,287000,360000,357500,455000,413500,525000,717000,1037500,37,156,9.9,
SUNNYCLIFFS,85000,194000,195000,280000,185000,220000,228000,218000,229500,230000,325000,277500,41,282,14.4,
SUNSET STRIP,286500,286500,301500,310000,301500,340000,345000,390000,460000,511000,602500,835000,18,110,7.7,
SUNSHINE,430000,400000,435000,483500,530500,675000,765000,748500,715000,750000,870000,945000,16,102,7.3,
SUNSHINE NORTH,420000,395000,400000,425500,495000,560000,653000,663000,635000,675000,720500,734500,7,72,5.5,
SUNSHINE WEST,391500,375000,384500,395000,450000,520000,639500,635000,635000,657000,745000,780000,13,90,6.6,
SURF BEACH,350000,350000,375000,360000,355000,414000,425000,480000,525000,559000,700000,772500,25,100,7.2,
SURREY HILLS,1212000,1121500,1323000,1450000,1750000,1800500,2170000,1900000,1890000,1880000,2310000,2156000,23,91,6.7,
SWAN HILL,225000,225000,225000,230000,248000,262500,252000,267000,285000,319000,360000,354500,13,60,4.8,
SWAN REACH,253000,334000,230000,276000,331000,455000,350000,370000,450000,430000,562000,764500,31,122,8.3,
SYDENHAM,420500,415000,425000,415000,440000,505000,590000,620000,599500,635000,706000,675000,11,68,5.3,
SYNDAL,850000,778000,950500,1160000,1505000,1410000,1585000,1530000,1499000,1570000,1768000,2550000,13,108,7.6,
TALLANGATTA,175000,185000,154000,200000,233000,216000,275000,245000,257500,280000,350000,432000,25,100,7.2,
TARNEIT,369000,356000,371000,395000,400000,445000,515000,570000,555000,568000,600000,645000,6,63,5.0,
TATURA,215000,229500,230000,237500,233000,228000,262000,250000,276500,303500,355000,385000,17,65,5.2,
TAWONGA,260000,231000,310000,375000,235000,275000,265000,354000,460000,407500,459000,615000,13,77,5.8,
TAWONGA SOUTH,230000,255000,219500,235000,257500,298000,254000,310000,422500,380000,550000,664000,45,139,9.1,
TAYLORS HILL,420000,480000,487500,510000,530000,600000,686000,723000,702000,754000,840000,821500,11,100,7.2,
TAYLORS LAKES,500000,477500,490000,510000,561500,635000,720000,763500,750000,777500,880000,908500,13,76,5.8,
TECOMA,427500,412000,415000,478000,510000,601500,709000,700000,662500,742500,920000,929000,24,115,8.0,
TEMPLESTOWE,804000,811000,865000,951500,1180000,1260000,1415000,1308000,1292500,1381500,1602500,1644000,16,99,7.1,
TEMPLESTOWE LOWER,711500,670000,750000,830000,1060000,1105500,1302000,1150000,1080000,1186000,1430000,1624000,21,101,7.2,
TERANG,160000,155000,161500,195000,206500,150000,188500,194000,188500,232500,307500,330000,32,92,6.8,
THE BASIN,400000,410000,430000,463500,550000,595000,610000,682500,695000,739000,872000,837500,18,118,8.1,
THE HONEYSUCKLES,236000,215000,214000,190000,160000,237000,265000,290000,336000,315000,477500,502500,52,102,7.3,
THE PATCH,470000,417500,393500,486500,505000,570500,665000,730000,755000,760000,882500,807500,16,88,6.5,
THOMASTOWN,400000,365000,390000,420000,436000,493000,653000,636000,592000,621000,720000,742000,16,80,6.1,
THOMSON (GREATER GEELONG),281500,273500,282000,290000,290000,308500,365000,411000,400500,435000,585000,607000,34,108,7.6,
THORNBURY,690000,715500,729000,840000,918000,1079500,1225000,1137500,1150000,1250000,1490000,1462500,19,116,8.0,
THORNHILL PARK,-,-,-,-,-,441000,447000,578000,535000,540000,585000,600000,8,NA,NA,
TIMBOON,211500,212500,184000,210000,240000,215000,220000,247000,260000,412500,425000,460000,3,101,7.2,
TONGALA,154000,175000,185000,179000,165000,204000,200000,275000,234500,236500,305000,423000,29,98,7.1,
TOONGABBIE,230000,212500,234000,261500,235000,315000,286500,280500,315500,320000,445000,525000,39,93,6.8,
TOORA,200000,210000,171500,155000,230000,195000,190000,241500,275000,300000,430000,610000,43,115,8.0,
TOORADIN,365000,380000,420000,480000,471000,411000,599000,702000,700000,755000,800000,684500,6,119,8.2,
TOORAK,2617500,2775000,2875000,3391000,3987500,4900000,5100000,4700000,4550000,5500000,5925000,4555000,8,126,8.5,
TOOTGAROOK,373500,390000,387000,402500,405000,460000,591000,600500,586000,671000,874000,980000,30,134,8.9,
TORQUAY,565000,565000,580000,580000,620000,665000,720000,810000,815000,860000,1200000,1315000,40,112,7.8,
TRAFALGAR,271500,285000,283000,311000,310000,312500,333500,375000,396500,435000,485000,535000,11,79,6.0,
TRARALGON,270000,260000,269000,275000,273000,268000,288500,298000,326500,340000,408000,465000,20,51,4.2,
TRARALGON EAST,405000,402500,435000,440000,432500,445000,455000,425000,470000,501500,640000,592500,28,58,4.7,
