Date, Open, High, Low, Close
03/16/22, 7100.5, 7180.2, 7100.3, 7175.2
03/15/22, 7121.1, 7121.1, 7080.7, 7097.4
03/14/22, 7069.8, 7149.4, 7069.8, 7149.4
03/11/22, 7137.9, 7151.4, 7051.2, 7063.6
03/10/22, 7039.7, 7161.0, 7039.7, 7130.8
03/09/22, 6969.8, 7072.0, 6968.9, 7053.0
03/08/22, 7027.5, 7053.5, 6980.3, 6980.3
03/07/22, 7117.9, 7133.7, 7010.5, 7038.6
03/04/22, 7147.5, 7147.5, 7025.2, 7110.8
03/03/22, 7152.3, 7198.1, 7151.4, 7151.4
03/02/22, 7098.7, 7121.5, 7041.9, 7116.7
03/01/22, 7061.0, 7159.9, 7059.6, 7096.5
02/28/22, 7022.2, 7049.6, 6979.4, 7049.1
02/25/22, 7000.1, 7045.6, 6974.9, 6997.8
02/24/22, 7152.9, 7152.9, 6959.3, 6990.6
02/23/22, 7159.4, 7205.7, 7145.4, 7205.7
02/22/22, 7219.8, 7222.8, 7108.8, 7161.3
02/21/22, 7220.4, 7248.8, 7156.3, 7233.6
02/18/22, 7278.2, 7278.6, 7201.9, 7221.7
02/17/22, 7295.7, 7356.8, 7282.3, 7296.2
02/16/22, 7201.2, 7284.9, 7201.0, 7284.9
02/15/22, 7251.4, 7251.4, 7198.0, 7206.9
02/14/22, 7201.3, 7263.6, 7181.7, 7243.9
02/11/22, 7293.7, 7294.4, 7191.8, 7217.3
02/10/22, 7261.8, 7336.6, 7260.8, 7288.5
02/09/22, 7187.7, 7268.3, 7183.0, 7268.3
02/08/22, 7120.4, 7203.0, 7116.4, 7186.7
02/07/22, 7113.8, 7128.3, 7046.5, 7110.8
02/04/22, 7058.5, 7120.2, 7045.9, 7120.2
02/03/22, 7095.1, 7095.1, 7045.8, 7078.0
02/02/22, 7031.2, 7107.2, 7022.9, 7087.7
02/01/22, 6958.3, 7043.6, 6945.7, 7006.0
01/31/22, 6967.9, 7004.4, 6932.7, 6971.6
01/28/22, 6865.4, 7000.0, 6837.9, 6988.1
01/27/22, 6971.1, 7042.8, 6758.2, 6838.3
01/25/22, 7129.9, 7129.9, 6920.7, 6961.6
01/24/22, 7173.7, 7173.7, 7086.8, 7139.5
01/21/22, 7320.6, 7320.7, 7153.3, 7175.8
01/20/22, 7333.8, 7354.6, 7298.5, 7342.4
01/19/22, 7398.7, 7398.7, 7325.7, 7332.5
01/18/22, 7424.4, 7445.1, 7398.2, 7408.8
01/17/22, 7395.2, 7429.3, 7385.8, 7417.3
01/14/22, 7457.3, 7458.5, 7386.8, 7393.9
01/13/22, 7449.7, 7487.3, 7448.9, 7474.4
01/12/22, 7403.7, 7467.5, 7403.7, 7438.9
01/11/22, 7439.3, 7440.7, 7376.8, 7390.1
01/10/22, 7460.2, 7460.2, 7409.9, 7447.1
01/07/22, 7377.1, 7484.6, 7376.8, 7453.3
01/06/22, 7550.5, 7551.4, 7340.4, 7358.3
01/05/22, 7591.4, 7620.2, 7563.4, 7565.8
01/04/22, 7456.2, 7594.7, 7456.1, 7589.8
12/31/21, 7515.3, 7515.3, 7444.6, 7444.6
12/30/21, 7512.2, 7520.6, 7499.5, 7513.4
12/29/21, 7427.1, 7518.4, 7426.3, 7509.8
12/24/21, 7397.6, 7435.9, 7397.2, 7420.3
12/23/21, 7365.1, 7404.2, 7363.6, 7387.6
12/22/21, 7361.9, 7374.5, 7333.0, 7364.8
12/21/21, 7287.3, 7358.3, 7287.3, 7355.0
12/20/21, 7299.4, 7302.7, 7257.8, 7292.2
12/17/21, 7298.4, 7350.3, 7297.5, 7304.0
12/16/21, 7332.7, 7334.5, 7277.1, 7295.7
12/15/21, 7374.3, 7375.4, 7325.7, 7327.1
12/14/21, 7368.9, 7393.5, 7341.3, 7378.4
12/13/21, 7359.6, 7417.7, 7359.4, 7379.3
12/10/21, 7376.2, 7376.2, 7336.7, 7353.5
12/09/21, 7396.8, 7418.3, 7377.7, 7384.5
12/08/21, 7334.6, 7443.4, 7334.5, 7405.4
12/07/21, 7255.7, 7326.1, 7252.8, 7313.9
12/06/21, 7222.8, 7257.9, 7207.8, 7245.1
12/03/21, 7241.3, 7288.2, 7211.5, 7241.2
12/02/21, 7217.5, 7239.7, 7168.9, 7225.2
12/01/21, 7251.9, 7262.3, 7183.4, 7235.9
11/30/21, 7255.2, 7332.6, 7254.7, 7256.0
11/29/21, 7260.5, 7276.3, 7180.3, 7239.8
11/26/21, 7403.8, 7403.8, 7260.3, 7279.3
11/25/21, 7406.1, 7412.7, 7373.7, 7407.3
11/24/21, 7417.6, 7425.0, 7381.8, 7399.4
11/23/21, 7358.8, 7416.6, 7358.8, 7410.6
11/22/21, 7393.5, 7393.6, 7337.0, 7353.1
11/19/21, 7376.0, 7404.9, 7376.0, 7396.5
